,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.15,18.1,15.7,3.5,47.2%,19.5%,254,19.6%,"6,273"
1,Reyna,1.09,17.4,16.0,4.0,51.1%,14.9%,242,16.3%,"4,794"
2,Sage,0.97,14.4,14.8,4.7,44.8%,10.6%,194,11.4%,"3,417"
3,Omen,0.96,14.4,15.0,5.8,50%,10.4%,192,11.3%,"3,366"
4,Sova,0.99,13.2,13.4,5.8,51.9%,8.2%,198,8%,"2,652"
5,Raze,1.10,17.8,16.1,5.1,48.8%,6.8%,244,17.5%,"2,193"
6,Cypher,0.90,13.7,15.3,3.7,54.3%,5.5%,183,10.6%,"1,785"
7,Killjoy,1.02,14.6,14.3,3.7,61.8%,5.4%,202,10.7%,"1,734"
8,Phoenix,1.10,17.2,15.6,3.4,65.6%,5.1%,240,18%,"1,632"
9,Viper,0.96,14.4,15.0,6.2,66.7%,3.8%,197,11.3%,"1,224"
10,Skye,0.91,13.8,15.1,3.2,36.8%,3%,197,14.1%,969
11,Brimstone,0.86,13.6,15.7,7.2,57.1%,2.2%,183,8.9%,714
12,Breach,0.88,14.4,16.4,5.8,38.5%,2.1%,188,11.2%,663
13,Astra,1.12,14.9,13.3,4.3,66.7%,1.9%,200,6.7%,612
14,Yoru,0.88,14.8,16.8,3.3,50%,0.6%,215,13.6%,204
