,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.84,12.0,14.2,4.3,49.6%,17.7%,176,11.7%,"21,471"
1,Reyna,1.06,15.6,14.7,4.4,50%,13.1%,233,15.7%,"15,912"
2,Jett,1.04,15.5,14.9,4.1,51.4%,10.4%,231,17.6%,"12,597"
3,Raze,0.97,14.4,14.9,4.9,52.1%,8.9%,219,14.5%,"10,863"
4,Killjoy,0.96,13.3,13.8,4.4,49%,8.1%,200,9.8%,"9,792"
5,Sova,0.91,13.0,14.3,5.4,53.8%,7.1%,191,11.2%,"8,619"
6,Viper,0.85,12.6,14.8,5.2,44.4%,6.3%,184,11.6%,"7,701"
7,Omen,0.96,13.8,14.3,4.1,55%,6.3%,197,11.5%,"7,701"
8,Phoenix,0.93,13.9,15.0,3.9,43.3%,5.3%,206,14.9%,"6,477"
9,Brimstone,0.91,12.9,14.1,5.8,48%,4.1%,195,12.5%,"4,998"
10,Skye,0.85,12.7,14.9,4.2,47.9%,4%,184,11.9%,"4,896"
11,Cypher,0.91,12.8,14.1,4.4,53.7%,3.4%,179,10.6%,"4,182"
12,Yoru,0.80,12.3,15.4,3.5,47.8%,2.9%,182,13.1%,"3,519"
13,Breach,0.85,12.4,14.6,5.2,47.4%,1.6%,188,13.8%,"1,938"
14,Astra,0.95,14.5,15.2,5.2,47.1%,0.7%,206,10.6%,867
