,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.11,17.2,15.6,4.0,50%,16.6%,239,20.1%,"6,528"
1,Reyna,1.17,17.7,15.1,4.5,53.9%,14.9%,249,16.7%,"5,865"
2,Sage,0.96,13.9,14.5,4.3,54.1%,14.4%,193,10.2%,"5,661"
3,Omen,0.94,13.9,14.8,5.8,47.9%,9.4%,194,12.3%,"3,723"
4,Sova,0.98,14.3,14.6,6.1,50.8%,8.2%,207,9.3%,"3,213"
5,Raze,0.99,16.0,16.2,5.0,47.3%,7.1%,231,17.9%,"2,805"
6,Killjoy,0.95,14.0,14.7,4.4,48.9%,6.1%,199,9.6%,"2,397"
7,Viper,1.01,13.5,13.3,4.9,63.4%,5.3%,199,11.9%,"2,091"
8,Cypher,0.83,12.4,15.0,3.2,39.5%,4.9%,181,9.7%,"1,938"
9,Skye,0.96,14.1,14.6,3.4,40%,3.2%,195,10.8%,"1,275"
10,Brimstone,0.90,14.3,15.8,7.2,47.8%,3%,195,12.5%,"1,173"
11,Yoru,1.07,17.1,16.0,3.5,37.5%,2.1%,253,18.2%,816
12,Phoenix,1.07,16.6,15.6,4.6,50%,2.1%,235,18%,816
13,Breach,0.87,12.1,13.9,6.7,54.5%,1.4%,185,12%,561
14,Astra,0.92,14.1,15.4,5.5,45.5%,1.4%,196,11%,561
