,Agent Name,KD,Kills,Deaths,Assists
0,Reyna,1.17,17.6,15.1,4.1
1,Jett,1.17,17.4,14.9,3.7
2,Sage,1.05,15.4,14.7,4.8
3,Sova,0.97,13.9,14.3,6.0
4,Raze,1.02,15.4,15.2,4.6
5,Omen,0.93,14.3,15.4,5.7
6,Killjoy,1.01,14.7,14.6,4.4
7,Cypher,0.90,14.2,15.7,4.5
8,Viper,0.96,13.8,14.3,5.3
9,Phoenix,1.05,16.9,16.1,4.8
10,Skye,1.05,14.6,13.8,4.2
11,Brimstone,0.84,13.0,15.5,7.6
12,Breach,0.84,12.5,14.9,6.8
13,Astra,1.03,14.4,13.9,5.2
14,Yoru,0.90,15.4,17.0,4.2
