,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.20,18.2,15.2,4.1,50.8%,16.4%,260,16.4%,"24,072"
1,Jett,1.17,18.0,15.4,3.8,51.6%,15.5%,256,18.7%,"22,746"
2,Sage,0.98,14.3,14.6,4.7,53.2%,12.8%,196,11.3%,"18,870"
3,Omen,0.97,14.4,14.8,5.1,48.6%,8.5%,203,12.3%,"12,495"
4,Raze,1.03,15.9,15.4,5.2,54.9%,7.1%,236,16.4%,"10,506"
5,Sova,1.00,14.1,14.0,5.8,48.5%,7.1%,204,9.8%,"10,404"
6,Killjoy,1.02,13.8,13.5,3.8,52.9%,6.5%,206,10.5%,"9,537"
7,Viper,1.07,15.1,14.1,5.4,54.3%,5.2%,213,10.9%,"7,701"
8,Phoenix,1.08,16.5,15.3,4.4,52%,4.3%,237,17.4%,"6,273"
9,Cypher,0.96,14.0,14.6,4.5,45.1%,4.2%,200,10.6%,"6,222"
10,Brimstone,0.94,14.1,15.0,6.4,47.5%,4.1%,203,13.4%,"6,018"
11,Skye,0.98,14.6,15.0,3.8,50%,3.1%,205,13.1%,"4,488"
12,Breach,0.87,13.9,15.9,5.1,46%,2.2%,197,14%,"3,213"
13,Yoru,1.02,16.2,15.9,3.6,51.7%,2%,228,15.9%,"2,958"
14,Astra,0.99,15.0,15.2,5.4,41.4%,1%,208,10.1%,"1,479"
