,Agent Name,KD,Kills,Deaths,Assists
0,Reyna,1.12,17.1,15.2,3.9
1,Jett,1.14,17.5,15.4,3.7
2,Sage,0.99,14.3,14.4,4.7
3,Omen,1.01,15.0,14.9,5.3
4,Sova,1.01,14.0,13.9,5.6
5,Raze,1.00,15.8,15.8,4.9
6,Killjoy,1.05,14.6,13.9,4.1
7,Viper,0.99,13.5,13.7,5.1
8,Cypher,0.99,13.9,14.1,3.6
9,Phoenix,0.94,14.2,15.2,3.6
10,Brimstone,0.98,14.5,14.7,7.2
11,Skye,0.93,13.5,14.5,3.6
12,Breach,1.03,14.8,14.4,4.8
13,Astra,1.01,15.5,15.4,4.8
14,Yoru,0.90,14.1,15.6,3.9
