,Agent Name,KD,Kills,Deaths,Assists
0,Sage,0.78,11.5,14.7,4.2
1,Raze,0.90,13.1,14.6,4.3
2,Jett,1.01,14.3,14.1,4.1
3,Reyna,1.01,14.7,14.6,3.9
4,Viper,0.80,11.0,13.9,4.3
5,Killjoy,0.86,12.6,14.7,4.3
6,Phoenix,0.99,13.1,13.3,4.2
7,Omen,0.85,12.6,14.7,4.5
8,Sova,0.80,12.1,15.1,5.4
9,Brimstone,0.89,12.8,14.3,5.6
10,Skye,0.76,10.4,13.7,3.6
11,Yoru,0.86,12.2,14.2,3.3
12,Cypher,0.95,14.5,15.3,5.0
13,Breach,0.75,11.4,15.2,4.4
14,Astra,1.20,15.3,12.8,4.8
