,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.15,17.5,15.2,4.2,51.6%,15.3%,252,15.9%,"57,732"
1,Sage,0.92,13.5,14.6,4.4,49.1%,14.9%,189,11.5%,"56,151"
2,Jett,1.13,17.3,15.3,3.9,49.4%,13%,246,17.7%,"49,011"
3,Omen,0.98,15.0,15.4,5.1,51.3%,8.6%,208,12.8%,"32,487"
4,Raze,1.00,15.7,15.7,4.9,47.6%,7.7%,235,15.2%,"28,917"
5,Sova,0.96,14.1,14.7,5.7,51.5%,7.4%,202,11.4%,"27,846"
6,Killjoy,1.00,13.9,14.0,4.2,50.9%,6.8%,205,10.5%,"25,653"
7,Viper,1.01,14.7,14.6,5.4,49.7%,5.3%,205,11.2%,"19,788"
8,Phoenix,1.07,16.4,15.3,4.4,50.8%,4.4%,240,17%,"16,677"
9,Brimstone,0.94,14.0,14.9,6.6,52.8%,4.1%,201,11.3%,"15,555"
10,Cypher,0.93,13.6,14.6,4.4,48.7%,4.1%,192,11.1%,"15,402"
11,Skye,0.94,14.2,15.1,4.0,48.2%,3%,197,12.6%,"11,322"
12,Breach,0.96,14.9,15.5,4.8,51.5%,2.3%,211,14.8%,"8,721"
13,Yoru,0.93,14.6,15.7,3.6,43%,2%,207,15.5%,"7,701"
14,Astra,1.06,15.1,14.3,4.7,45.5%,1%,208,11.7%,"3,927"
