,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.10,17.9,16.2,3.6,50%,18.5%,242,21.7%,"4,386"
1,Reyna,1.10,17.0,15.5,3.6,45.6%,14.6%,239,14.7%,"3,468"
2,Sova,1.01,14.6,14.4,6.6,44%,10.8%,206,8.9%,"2,550"
3,Sage,1.00,14.1,14.1,4.2,45.5%,9.5%,197,12.3%,"2,244"
4,Raze,1.01,15.2,15.0,5.0,52.9%,7.3%,235,14.7%,"1,734"
5,Cypher,1.03,15.0,14.6,4.0,41.2%,7.3%,202,11.4%,"1,734"
6,Viper,0.90,13.7,15.3,6.4,51.7%,6.2%,192,15.1%,"1,479"
7,Omen,0.83,12.1,14.7,6.4,46.4%,6%,180,14.1%,"1,428"
8,Killjoy,0.94,13.4,14.3,4.3,73.1%,5.6%,187,9.7%,"1,326"
9,Skye,0.93,14.4,15.5,4.5,47.4%,4.1%,190,13.5%,969
10,Brimstone,1.04,15.0,14.5,7.4,58.8%,3.7%,207,9.8%,867
11,Astra,1.01,14.1,13.9,5.2,36.4%,2.4%,195,6.5%,561
12,Breach,0.95,15.7,16.6,7.3,44.4%,1.9%,209,17%,459
13,Phoenix,0.93,15.7,16.8,3.7,16.7%,1.3%,223,14.9%,306
14,Yoru,0.86,14.0,16.3,3.0,25%,0.9%,213,17.9%,204
