,Agent Name,KD,Kills,Deaths,Assists
0,Jett,1.11,4.7,4.2,1.2
1,Raze,1.03,4.3,4.2,1.4
2,Reyna,1.12,4.6,4.1,1.2
3,Sage,0.89,3.6,4.0,1.1
4,Phoenix,0.99,4.0,4.1,1.1
5,Yoru,0.90,3.8,4.2,0.9
6,Sova,0.92,3.7,4.0,1.5
7,Killjoy,0.92,3.6,3.9,1.2
8,Omen,0.90,3.7,4.1,1.1
9,Skye,0.94,3.9,4.1,1.2
10,Viper,0.86,3.5,4.1,1.3
11,Breach,0.92,3.9,4.2,1.4
12,Cypher,0.93,3.8,4.0,1.1
13,Brimstone,0.83,3.4,4.1,1.6
14,Astra,0.90,3.7,4.1,1.1
