,Agent Name,KD,Kills,Deaths,Assists
0,Sage,0.88,12.4,14.1,4.4
1,Reyna,1.06,15.7,14.7,4.5
2,Jett,1.02,15.0,14.7,4.2
3,Raze,1.00,15.1,15.0,4.8
4,Killjoy,1.00,13.8,13.8,4.2
5,Omen,0.88,12.9,14.7,4.4
6,Sova,0.92,13.2,14.3,5.2
7,Viper,0.87,12.7,14.5,4.9
8,Phoenix,1.09,16.4,15.0,4.4
9,Brimstone,0.80,12.6,15.7,6.1
10,Skye,0.86,12.8,14.8,4.1
11,Cypher,0.93,13.2,14.2,4.2
12,Yoru,0.97,14.2,14.6,4.2
13,Breach,0.76,11.6,15.2,5.0
14,Astra,0.91,13.2,14.5,3.4
