,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.14,17.6,15.4,4.0,50.2%,15.6%,248,18.1%,"32,946"
1,Reyna,1.17,18.1,15.5,4.2,52%,15.5%,256,16.4%,"32,844"
2,Sage,0.96,13.9,14.5,4.6,52.1%,12.4%,195,12%,"26,316"
3,Omen,0.93,14.0,15.1,5.1,48.7%,9.1%,199,12.4%,"19,176"
4,Raze,1.05,16.2,15.4,4.9,50.3%,8.3%,241,15.7%,"17,646"
5,Killjoy,1.01,14.0,13.8,4.0,50.9%,7%,206,9.7%,"14,841"
6,Sova,0.96,14.0,14.6,5.6,46.4%,6.4%,203,9.9%,"13,617"
7,Viper,1.00,14.6,14.7,5.6,49.8%,5.2%,206,10.6%,"11,067"
8,Phoenix,1.09,16.5,15.2,4.0,49%,4.8%,237,15.7%,"10,098"
9,Brimstone,1.01,14.9,14.9,6.6,45.8%,3.7%,215,11.6%,"7,905"
10,Cypher,0.99,14.1,14.3,4.3,47.3%,3.6%,197,8.8%,"7,650"
11,Skye,0.97,14.2,14.7,3.9,45.9%,2.6%,204,13.8%,"5,559"
12,Yoru,0.91,14.7,16.1,3.7,42.2%,2.2%,203,14.3%,"4,590"
13,Breach,0.94,14.5,15.4,5.4,47.7%,2.1%,208,12.8%,"4,386"
14,Astra,0.99,14.9,15.1,4.8,33.9%,1.4%,211,9.7%,"3,009"
