,Agent Name,KD,Kills,Deaths,Assists
0,Sage,0.75,11.1,14.7,4.5
1,Reyna,1.02,16.0,15.7,4.5
2,Raze,0.85,13.1,15.3,4.8
3,Jett,0.99,15.4,15.6,4.0
4,Killjoy,1.00,13.6,13.6,4.4
5,Omen,0.86,13.1,15.2,3.9
6,Sova,0.78,11.2,14.4,5.1
7,Viper,0.92,14.2,15.4,5.7
8,Phoenix,1.11,14.6,13.2,4.1
9,Yoru,0.93,13.3,14.3,3.3
10,Cypher,0.78,11.7,15.0,5.3
11,Brimstone,0.79,12.1,15.3,5.9
12,Skye,0.98,13.9,14.2,4.5
13,Breach,0.93,12.4,13.4,5.3
14,Astra,0.70,9.9,14.0,4.0
