,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.08,17.1,15.8,3.6,46.3%,15.6%,238,20.8%,"9,588"
1,Reyna,1.16,17.7,15.3,3.7,52.8%,13.2%,241,17.1%,"8,109"
2,Sage,0.94,14.0,14.8,4.4,49.3%,12.1%,193,9.7%,"7,446"
3,Sova,1.01,14.6,14.4,6.7,56.6%,10.1%,207,9.2%,"6,222"
4,Omen,1.06,15.5,14.7,6.6,59.4%,8.8%,210,10.2%,"5,406"
5,Raze,1.03,16.4,15.9,5.3,62.5%,8%,238,17%,"4,896"
6,Viper,1.03,15.1,14.6,5.9,55.4%,6.1%,209,11.6%,"3,774"
7,Cypher,0.93,13.6,14.6,4.0,48.5%,5.6%,193,8.4%,"3,468"
8,Killjoy,0.95,13.9,14.7,4.0,41.5%,5.4%,196,11.9%,"3,315"
9,Skye,1.03,15.0,14.6,4.0,49%,4.1%,206,9.8%,"2,499"
10,Brimstone,1.02,14.6,14.3,7.0,50%,3.5%,206,9.4%,"2,142"
11,Phoenix,0.95,15.8,16.6,4.6,40.6%,2.7%,226,17.9%,"1,632"
12,Astra,1.07,14.8,13.8,5.7,50%,2%,200,9.3%,"1,224"
13,Yoru,1.09,16.6,15.3,3.6,41.2%,1.4%,233,15.5%,867
14,Breach,0.89,14.1,15.8,5.9,43.8%,1.3%,190,10.2%,816
