,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.2,19.6%,73.4%,7%,128
1,Phantom,6.4,17.7%,75%,7.3%,125
2,Odin,3.3,12.8%,67.4%,19.8%,117
3,Operator,3.1,10.9%,86.1%,3.1%,151
4,Spectre,2.7,15.4%,75%,9.5%,96
5,Ghost,2.3,21.6%,74.1%,4.3%,89
6,Judge,1.7,15.5%,72.8%,11.7%,102
7,Classic,1.5,18.2%,74.9%,6.8%,80
8,Sheriff,1.4,24.1%,69.7%,6.2%,103
9,Frenzy,1.4,21.4%,72.3%,6.3%,88
10,Guardian,1.3,20.4%,75.9%,3.7%,131
11,Bulldog,1.2,14.6%,78.2%,7.3%,108
12,Marshal,1.0,22.3%,75%,2.7%,123
13,Stinger,1.0,15.7%,75.6%,8.6%,89
14,Ares,0.8,9.9%,71.7%,18.4%,76
15,Shorty,0.8,14.9%,73.1%,12%,82
16,Bucky,0.8,11.3%,78.1%,10.6%,77
