,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.0,20.8%,72.9%,6.3%,128
1,Phantom,7.0,19.8%,73%,7.1%,124
2,Spectre,2.9,15.9%,75.1%,9%,96
3,Operator,2.8,7.9%,83.8%,8.3%,143
4,Ghost,2.2,23.3%,71%,5.7%,88
5,Judge,1.7,16.4%,75.9%,7.7%,98
6,Classic,1.5,20.5%,74.7%,4.8%,78
7,Sheriff,1.4,25.3%,71.1%,3.6%,109
8,Frenzy,1.3,18.1%,74.7%,7.2%,89
9,Ares,1.3,7.3%,63.5%,29.2%,91
10,Odin,1.3,10.3%,65.5%,24.1%,124
11,Bulldog,1.2,18.9%,76.4%,4.7%,117
12,Bucky,1.2,14.7%,85.3%,0%,119
13,Marshal,1.1,20%,69.5%,10.5%,130
14,Stinger,0.9,20.2%,73.1%,6.7%,98
15,Guardian,0.9,19.5%,78%,2.4%,146
16,Shorty,0.3,11.4%,79.6%,9%,92
