,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.8,19.7%,73.6%,6.8%,129
1,Phantom,6.0,18.9%,73.4%,7.8%,127
2,Spectre,2.9,16.5%,73.4%,10.1%,96
3,Operator,2.9,7.2%,87%,5.8%,146
4,Ghost,1.9,25.3%,68.2%,6.5%,89
5,Classic,1.5,18.5%,73.6%,7.9%,81
6,Frenzy,1.5,19.7%,73%,7.3%,85
7,Judge,1.4,14.3%,75.2%,10.5%,96
8,Odin,1.4,12.3%,73.8%,13.8%,111
9,Sheriff,1.3,23.8%,70.4%,5.7%,106
10,Bulldog,1.2,16.4%,72.7%,10.9%,113
11,Ares,1.1,8.8%,78.9%,12.3%,93
12,Marshal,1.0,18.6%,76.7%,4.7%,115
13,Guardian,0.9,18.4%,73.5%,8.2%,130
14,Shorty,0.8,17.9%,72.2%,9.9%,79
15,Stinger,0.6,18.4%,77%,4.6%,90
16,Bucky,0.3,20.7%,69%,10.3%,46
