,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.5,24.7%,68.7%,6.6%,135
1,Phantom,10.0,23.4%,68.9%,7.7%,128
2,Spectre,3.9,20.1%,72%,8%,94
3,Operator,3.9,15.5%,84.5%,0%,148
4,Odin,3.5,27.6%,55.2%,17.2%,139
5,Ghost,2.9,29.5%,65.7%,4.8%,92
6,Sheriff,2.0,31.1%,65.9%,3%,111
7,Frenzy,1.9,20.4%,73.1%,6.5%,92
8,Bulldog,1.5,23.3%,76.7%,0%,113
9,Classic,1.4,29.9%,68.2%,2%,85
10,Marshal,1.2,33.3%,60%,6.7%,145
11,Stinger,1.0,23.1%,73.1%,3.8%,122
12,Guardian,1.0,0%,100%,0%,130
13,Shorty,0.6,9.7%,80.6%,9.7%,109
14,Judge,0.6,6.8%,82.4%,10.8%,100
15,Ares,0.5,10%,70%,20%,88
