,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,6.5,12.7%,75.6%,11.7%,121
1,Phantom,3.9,13.4%,73.8%,12.8%,116
2,Operator,3.1,11.6%,84.2%,4.2%,147
3,Odin,2.9,8.8%,75.7%,15.4%,119
4,Spectre,2.8,10.7%,74.7%,14.6%,96
5,Ares,2.2,8.2%,68.8%,22.9%,93
6,Guardian,1.9,17.8%,75.3%,6.8%,135
7,Ghost,1.8,14.7%,74.5%,10.8%,83
8,Bulldog,1.8,4.8%,81.4%,13.8%,92
9,Sheriff,1.6,18.7%,73.8%,7.5%,103
10,Judge,1.4,8%,71.4%,20.6%,94
11,Frenzy,1.3,16.3%,71.6%,12.1%,77
12,Classic,1.2,11.7%,76.2%,12.1%,70
13,Bucky,1.1,11.2%,82%,6.7%,97
14,Marshal,1.0,17.5%,81.8%,0.6%,121
15,Shorty,0.8,12.2%,73.3%,14.5%,64
16,Stinger,0.6,14.2%,70.8%,15.1%,80
