,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.5,20.6%,72.6%,6.8%,127
1,Phantom,7.5,18.2%,75.6%,6.2%,123
2,Odin,3.8,12.1%,71.7%,16.2%,135
3,Operator,2.9,8.8%,86.5%,4.7%,145
4,Spectre,2.7,15.1%,75.9%,9%,92
5,Ghost,2.2,22.3%,71.6%,6.1%,85
6,Judge,1.5,13.5%,78.7%,7.8%,101
7,Sheriff,1.4,25.6%,69.6%,4.8%,106
8,Classic,1.4,20.8%,71.6%,7.7%,81
9,Frenzy,1.4,18.2%,73.5%,8.3%,83
10,Ares,1.2,12.9%,68.6%,18.6%,81
11,Guardian,1.1,18.5%,75.4%,6.2%,132
12,Bulldog,1.1,21%,71.4%,7.6%,115
13,Bucky,1.1,16%,77.3%,6.7%,126
14,Stinger,1.0,25.8%,64.9%,9.3%,105
15,Shorty,1.0,14.3%,74.4%,11.3%,100
16,Marshal,0.8,14.8%,75.4%,9.8%,121
