,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.9,16.6%,74.8%,8.6%,127
1,Phantom,7.1,16.7%,74.1%,9.2%,125
2,Spectre,4.0,12.4%,76.1%,11.5%,96
3,Operator,3.4,11.1%,85%,3.9%,149
4,Odin,3.2,11.8%,71%,17.2%,123
5,Ghost,2.6,19.1%,73.7%,7.2%,86
6,Judge,1.9,12%,72.2%,15.8%,95
7,Classic,1.8,17%,74.5%,8.5%,77
8,Ares,1.8,9%,73.1%,17.8%,98
9,Frenzy,1.6,15.8%,76.1%,8.1%,82
10,Sheriff,1.5,22.6%,72.9%,4.5%,106
11,Bulldog,1.5,14.6%,74.5%,11%,105
12,Guardian,1.4,19.9%,75.9%,4.2%,134
13,Marshal,1.0,17.2%,78.6%,4.1%,118
14,Stinger,0.9,17.1%,74.4%,8.5%,95
15,Bucky,0.8,15.2%,73.5%,11.3%,93
16,Shorty,0.6,11.3%,73.9%,14.8%,75
