,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.1,18%,73.7%,8.3%,126
1,Phantom,7.0,16.7%,75.6%,7.7%,124
2,Odin,3.3,9.4%,72.3%,18.3%,111
3,Spectre,3.1,13.6%,75.8%,10.5%,97
4,Operator,2.5,9.2%,86.1%,4.7%,146
5,Ghost,2.2,22%,70.7%,7.3%,87
6,Judge,1.8,13.8%,72.1%,14.1%,97
7,Classic,1.6,17.5%,75.3%,7.3%,75
8,Ares,1.6,9%,73.8%,17.3%,97
9,Frenzy,1.4,16.8%,78.5%,4.7%,85
10,Sheriff,1.3,23.3%,71.8%,4.9%,102
11,Marshal,1.1,24.8%,73.7%,1.4%,126
12,Guardian,1.0,18.6%,76.3%,5.1%,135
13,Bucky,1.0,17.5%,75.1%,7.4%,84
14,Bulldog,0.9,17.9%,72.2%,9.9%,102
15,Stinger,0.7,13.4%,75.6%,11%,91
16,Shorty,0.7,13.9%,74.5%,11.6%,87
