,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,5.6,11.3%,75.8%,12.8%,120
1,Phantom,3.8,11%,73.8%,15.2%,114
2,Spectre,3.1,10.9%,74.1%,14.9%,93
3,Odin,3.1,10.3%,71.5%,18.2%,119
4,Ares,3.1,8.6%,71.3%,20%,101
5,Judge,3.0,8.9%,70%,21.2%,97
6,Sheriff,2.2,16.2%,67.6%,16.2%,99
7,Ghost,1.7,14.6%,74.5%,10.9%,86
8,Guardian,1.7,8.8%,76.5%,14.7%,126
9,Bulldog,1.6,13.8%,72.3%,13.8%,101
10,Operator,1.5,7.1%,83.5%,9.4%,126
11,Classic,1.3,12%,74.9%,13.1%,73
12,Stinger,1.3,10.4%,75.3%,14.3%,85
13,Frenzy,1.2,20.5%,71.6%,8%,89
14,Marshal,0.9,18.9%,75.7%,5.4%,122
15,Shorty,0.5,6.5%,61.3%,32.3%,87
16,Bucky,0.2,5.1%,69.2%,25.6%,60
