,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.7,21%,72.5%,6.4%,126
1,Phantom,6.7,18.8%,75.5%,5.7%,123
2,Operator,3.8,6.7%,91.4%,1.9%,139
3,Spectre,3.0,17.2%,74.3%,8.5%,90
4,Ghost,2.1,24.6%,70.1%,5.2%,84
5,Sheriff,1.6,29.6%,66.2%,4.2%,108
6,Odin,1.6,24.3%,67.6%,8.1%,138
7,Classic,1.3,26.2%,68.5%,5.2%,81
8,Marshal,1.3,8.3%,80.6%,11.1%,106
9,Judge,1.2,14.3%,73%,12.7%,103
10,Guardian,1.0,30.8%,61.5%,7.7%,158
11,Bucky,1.0,6.5%,64.5%,29%,116
12,Bulldog,0.9,20%,65%,15%,107
13,Ares,0.8,13%,52.2%,34.8%,74
14,Frenzy,0.7,21.9%,74.2%,4%,74
15,Shorty,0.7,18.5%,77.4%,4%,86
16,Stinger,0.5,14.8%,72.2%,13%,82
