,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,8.8,14.9%,74.3%,10.8%,123
1,Phantom,6.5,14.2%,75.6%,10.2%,123
2,Spectre,3.9,11.5%,75.8%,12.7%,97
3,Odin,3.1,9.4%,69.7%,20.9%,117
4,Operator,2.8,11%,82.2%,6.7%,148
5,Ghost,2.3,16%,74.8%,9.1%,84
6,Ares,2.0,8.2%,71.2%,20.5%,98
7,Judge,1.7,13%,74.4%,12.6%,101
8,Classic,1.5,13.9%,76.3%,9.9%,75
9,Guardian,1.5,13%,82.9%,4.1%,127
10,Sheriff,1.3,18.9%,73.3%,7.8%,99
11,Marshal,1.3,23.8%,71%,5.2%,125
12,Frenzy,1.2,13.6%,76.2%,10.2%,78
13,Bulldog,1.2,9.6%,77.7%,12.7%,111
14,Bucky,1.1,13.5%,75.8%,10.6%,83
15,Shorty,1.0,16%,70%,14%,79
16,Stinger,0.4,19.1%,68.4%,12.5%,77
