,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.6,22.6%,71.9%,5.4%,130
1,Phantom,8.1,20.5%,72.1%,7.4%,126
2,Operator,3.4,11.2%,85.5%,3.3%,157
3,Spectre,2.7,17.6%,75.8%,6.6%,96
4,Ghost,2.2,23.8%,70.2%,6%,89
5,Odin,2.0,11.1%,77.8%,11.1%,91
6,Sheriff,1.7,27.3%,66.1%,6.7%,109
7,Judge,1.6,12.8%,78.6%,8.6%,95
8,Bulldog,1.4,10.5%,77%,12.5%,111
9,Ares,1.4,7.9%,63.5%,28.6%,85
10,Frenzy,1.3,19.7%,72.9%,7.3%,80
11,Classic,1.2,23.5%,70.4%,6.2%,81
12,Guardian,1.1,21.1%,78.9%,0%,133
13,Stinger,1.0,17.9%,76.8%,5.4%,99
14,Shorty,0.9,17.2%,76.3%,6.5%,99
15,Marshal,0.9,27.1%,72.9%,0%,122
16,Bucky,0.8,19%,81%,0%,116
