,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,17.1,23.5%,69.7%,6.9%,127
1,Phantom,11.9,22.3%,71.3%,6.4%,127
2,Spectre,4.4,16.9%,75.6%,7.5%,92
3,Operator,3.5,7.8%,86.9%,5.2%,142
4,Ghost,3.4,29.2%,67.5%,3.3%,92
5,Odin,3.3,13.8%,68.8%,17.5%,107
6,Sheriff,2.5,30.9%,66.6%,2.5%,112
7,Classic,2.2,23.3%,70.5%,6.3%,83
8,Ares,2.1,6.5%,73.9%,19.6%,87
9,Bulldog,1.8,17.8%,76%,6.2%,99
10,Judge,1.6,11.6%,81.6%,6.8%,93
11,Frenzy,1.4,22.5%,71.9%,5.6%,80
12,Marshal,1.2,13.8%,74.1%,12.1%,114
13,Guardian,1.0,43.3%,46.7%,10%,144
14,Bucky,1.0,18.6%,72.1%,9.3%,87
15,Shorty,0.7,12.4%,76.9%,10.7%,97
16,Stinger,0.7,29.2%,66.7%,4.2%,110
