,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.2,12.4%,73.7%,13.9%,122
1,Phantom,5.8,11%,74.7%,14.3%,119
2,Spectre,4.9,10.5%,72.8%,16.8%,94
3,Ares,4.0,10.2%,66.1%,23.7%,104
4,Bulldog,3.5,5.5%,73.6%,20.9%,85
5,Guardian,2.8,9.4%,79%,11.6%,124
6,Odin,2.7,8.8%,70.8%,20.3%,104
7,Operator,2.6,4%,90.7%,5.3%,137
8,Classic,2.2,9.8%,75.8%,14.4%,75
9,Ghost,1.6,10.7%,72.5%,16.7%,82
10,Bucky,1.5,9.5%,78.5%,12%,92
11,Sheriff,1.2,9.9%,72.5%,17.6%,98
12,Judge,0.9,9.7%,67.9%,22.4%,82
13,Shorty,0.7,2.8%,81.7%,15.5%,106
14,Marshal,0.6,8.3%,91.7%,0%,107
15,Frenzy,0.6,14%,73.7%,12.3%,67
16,Stinger,0.6,17.2%,72.4%,10.3%,112
