,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.8,12.8%,75.6%,11.6%,124
1,Phantom,4.6,11.8%,75.4%,12.8%,119
2,Spectre,4.0,10.3%,74.5%,15.2%,94
3,Ares,3.0,7.4%,69.5%,23.1%,97
4,Odin,3.0,10.2%,70.1%,19.7%,123
5,Operator,3.0,7.6%,88%,4.3%,146
6,Judge,2.4,11.1%,71.4%,17.5%,97
7,Ghost,2.0,14.7%,74.8%,10.5%,81
8,Classic,1.5,11.5%,74.5%,14%,69
9,Guardian,1.5,12.5%,73.2%,14.3%,127
10,Sheriff,1.4,14.9%,79.7%,5.4%,109
11,Stinger,1.3,12%,65.6%,22.4%,86
12,Frenzy,1.2,15.3%,73.5%,11.2%,80
13,Marshal,1.1,23.3%,70.5%,6.2%,121
14,Shorty,1.1,14.8%,68.7%,16.5%,73
15,Bulldog,1.1,7.5%,80.9%,11.6%,106
16,Bucky,0.8,11%,77.3%,11.6%,73
