,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.3,22.9%,71.3%,5.8%,129
1,Phantom,7.5,20%,71.7%,8.3%,126
2,Operator,3.0,10.7%,85.3%,4%,151
3,Spectre,2.9,19.2%,71%,9.7%,91
4,Ghost,2.3,23.7%,72.7%,3.6%,91
5,Odin,2.1,15.9%,76.2%,7.9%,134
6,Sheriff,1.8,34.7%,62.8%,2.5%,125
7,Frenzy,1.6,20.5%,70.7%,8.8%,91
8,Classic,1.4,28.1%,66.5%,5.4%,86
9,Guardian,1.3,57.1%,42.9%,0%,139
10,Bulldog,1.3,31.6%,63.2%,5.3%,116
11,Judge,1.2,16.9%,70.3%,12.8%,112
12,Bucky,1.0,12.2%,80.5%,7.3%,148
13,Ares,1.0,0%,57.9%,42.1%,90
14,Stinger,0.8,14%,82%,4%,123
15,Marshal,0.8,11.8%,76.5%,11.8%,118
16,Shorty,0.5,17.3%,74.5%,8.2%,90
