,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Icebox,16.5%,51.6%,48.4%,"4,743"
1,Haven,17.2%,51.2%,48.8%,"4,947"
2,Breeze,15.9%,51.2%,48.8%,"4,590"
3,Bind,18.4%,50.9%,49.1%,"5,304"
4,Ascent,13.6%,48.2%,51.8%,"3,927"
5,Split,18.4%,47.1%,52.9%,"5,304"
