,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,17.4%,53.9%,46.1%,"16,116"
1,Breeze,13.6%,51.9%,48.1%,"12,546"
2,Icebox,15.9%,49.6%,50.4%,"14,688"
3,Bind,18.3%,49%,51%,"16,932"
4,Ascent,17.7%,48.8%,51.2%,"16,422"
5,Split,17%,48.4%,51.6%,"15,759"
