,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,17.9%,52.9%,47.1%,"10,047"
1,Breeze,12.9%,51.1%,48.9%,"7,242"
2,Split,16.4%,49.8%,50.2%,"9,231"
3,Icebox,16.6%,48.7%,51.3%,"9,333"
4,Ascent,17.2%,47%,53%,"9,639"
5,Bind,18.9%,45.6%,54.4%,"10,608"
