,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,17%,53.1%,46.9%,"8,109"
1,Breeze,13.9%,50.8%,49.2%,"6,630"
2,Split,17%,48.3%,51.7%,"8,109"
3,Icebox,16.3%,46.8%,53.2%,"7,752"
4,Ascent,18.1%,45.9%,54.1%,"8,619"
5,Bind,17.8%,45%,55%,"8,466"
