,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Icebox,16.7%,52.3%,47.7%,"65,790"
1,Breeze,16.4%,51.2%,48.8%,"64,464"
2,Haven,16.9%,50.9%,49.1%,"66,606"
3,Split,16.5%,49.8%,50.2%,"64,821"
4,Ascent,16.5%,49.7%,50.3%,"65,076"
5,Bind,17.1%,49.6%,50.4%,"67,218"
