,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Breeze,14%,52.3%,47.7%,"10,353"
1,Icebox,16.8%,51.9%,48.1%,"12,444"
2,Haven,16%,51.5%,48.5%,"11,832"
3,Bind,19.1%,48.1%,51.9%,"14,127"
4,Split,18.4%,47.8%,52.2%,"13,617"
5,Ascent,15.7%,46.5%,53.5%,"11,628"
