,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Breeze,13.6%,51.9%,48.1%,"17,391"
1,Haven,16.7%,51.2%,48.8%,"21,267"
2,Icebox,16.6%,51.1%,48.9%,"21,216"
3,Ascent,18.6%,49%,51%,"23,715"
4,Split,16.9%,47.9%,52.1%,"21,573"
5,Bind,17.4%,47.5%,52.5%,"22,236"
