,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Breeze,15.9%,52.7%,47.3%,"36,006"
1,Haven,16.6%,52%,48%,"37,485"
2,Bind,17.3%,51.4%,48.6%,"39,015"
3,Ascent,16.4%,50.6%,49.4%,"37,077"
4,Icebox,16.9%,50.2%,49.8%,"38,148"
5,Split,16.8%,50.2%,49.8%,"38,046"
