,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Breeze,14.1%,51.8%,48.2%,"8,466"
1,Icebox,16.6%,51.4%,48.6%,"9,945"
2,Haven,16.9%,50.8%,49.2%,"10,149"
3,Bind,15.8%,47.6%,52.4%,"9,486"
4,Split,19.6%,47.4%,52.6%,"11,781"
5,Ascent,16.9%,45.8%,54.2%,"10,149"
