,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Icebox,15.5%,50.9%,49.1%,"3,621"
1,Haven,19.4%,50.9%,49.1%,"4,539"
2,Breeze,13.3%,49.9%,50.1%,"3,111"
3,Bind,17.4%,48.6%,51.4%,"4,080"
4,Ascent,15.5%,47%,53%,"3,621"
5,Split,19%,47%,53%,"4,437"
