,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,16.6%,50.8%,49.2%,"4,029"
1,Icebox,17.3%,49.1%,50.9%,"4,182"
2,Split,14.5%,49%,51%,"3,519"
3,Breeze,13.7%,47.9%,52.1%,"3,315"
4,Bind,19.2%,47.8%,52.2%,"4,641"
5,Ascent,18.7%,46.4%,53.6%,"4,539"
