,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,18.1%,50.9%,49.1%,"23,103"
1,Breeze,13.4%,50.9%,49.1%,"17,187"
2,Icebox,17.5%,50.6%,49.4%,"22,338"
3,Bind,16.7%,49.3%,50.7%,"21,369"
4,Ascent,17%,47.8%,52.2%,"21,675"
5,Split,17.4%,46.4%,53.6%,"22,185"
