,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,19.3%,51.2%,48.8%,"6,426"
1,Icebox,15.9%,49.5%,50.5%,"5,304"
2,Breeze,14.1%,49.4%,50.6%,"4,692"
3,Split,14.2%,49.2%,50.8%,"4,743"
4,Bind,18.5%,45.2%,54.8%,"6,171"
5,Ascent,17.9%,45.1%,54.9%,"5,967"
