,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,17%,53.1%,46.9%,"10,098"
1,Breeze,12.4%,51.3%,48.7%,"7,344"
2,Icebox,17%,49.5%,50.5%,"10,047"
3,Split,17.6%,49.2%,50.8%,"10,404"
4,Bind,18.1%,48.2%,51.8%,"10,710"
5,Ascent,17.8%,48%,52%,"10,557"
