,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Haven,21.1%,51.4%,48.6%,"4,131"
1,Icebox,17.4%,50.6%,49.4%,"3,417"
2,Split,13%,49.8%,50.2%,"2,550"
3,Ascent,14.8%,47.2%,52.8%,"2,907"
4,Bind,20.6%,47%,53%,"4,029"
5,Breeze,13%,46.4%,53.6%,"2,550"
