,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Breeze,13.9%,51.6%,48.4%,"26,010"
1,Haven,17%,51.5%,48.5%,"31,671"
2,Icebox,16.6%,50.5%,49.5%,"31,059"
3,Bind,17.1%,48.7%,51.3%,"31,926"
4,Split,17.7%,47.8%,52.2%,"32,946"
5,Ascent,17.7%,47.2%,52.8%,"32,946"
