,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Icebox,18.6%,51.5%,48.5%,"23,817"
1,Breeze,12.6%,51.2%,48.8%,"16,065"
2,Haven,16.9%,50.4%,49.6%,"21,624"
3,Bind,15.7%,49.2%,50.8%,"20,094"
4,Split,18.5%,47.8%,52.2%,"23,715"
5,Ascent,17.6%,47.3%,52.7%,"22,542"
