,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Breeze,8.7%,53.3%,46.7%,"2,550"
1,Bind,9%,51.5%,48.5%,"2,652"
2,Icebox,8%,49.2%,50.8%,"2,346"
3,Ascent,36%,48.4%,51.6%,"10,557"
4,Split,10.3%,48%,52%,"3,009"
5,Haven,28%,46.5%,53.5%,"8,211"
