,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Bind,17%,50.4%,49.6%,"3,570"
1,Haven,17%,50.1%,49.9%,"3,570"
2,Icebox,17.5%,49.8%,50.2%,"3,672"
3,Breeze,12.4%,49.7%,50.3%,"2,601"
4,Split,14.6%,48.1%,51.9%,"3,060"
5,Ascent,21.4%,46.2%,53.8%,"4,488"
