,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Bind,9.8%,60.5%,39.5%,204
1,Breeze,14.6%,51.2%,48.8%,306
2,Haven,14.6%,46.8%,53.2%,306
3,Ascent,22%,42.6%,57.4%,459
4,Split,24.4%,41.1%,58.9%,510
5,Icebox,14.6%,38.8%,61.2%,306
