,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Bind,19.1%,52.7%,47.3%,"2,091"
1,Breeze,11.2%,50.6%,49.4%,"1,224"
2,Icebox,16.3%,48.3%,51.7%,"1,785"
3,Haven,15.3%,47.2%,52.8%,"1,683"
4,Ascent,23.3%,44.4%,55.6%,"2,550"
5,Split,14.9%,44.3%,55.7%,"1,632"
