,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.7,22.9%,70.4%,6.7%,126
1,Phantom,5.6,21.3%,71.8%,7%,123
2,Operator,4.5,9.4%,87.5%,3.1%,146
3,Guardian,2.3,27.8%,72.2%,0%,202
4,Spectre,2.1,13.6%,75.5%,10.9%,89
5,Sheriff,2.0,30.6%,64.8%,4.6%,108
6,Odin,2.0,15.4%,69.2%,15.4%,139
7,Ghost,1.8,25.1%,70.8%,4.1%,91
8,Judge,1.7,14%,72.9%,13.2%,83
9,Frenzy,1.6,24.3%,70%,5.7%,91
10,Classic,1.1,19.1%,75%,5.9%,81
11,Bulldog,1.1,13.6%,81.8%,4.5%,103
12,Marshal,1.0,20%,80%,0%,129
13,Ares,1.0,4.3%,95.7%,0%,98
14,Stinger,0.8,29.2%,54.2%,16.7%,99
15,Shorty,0.4,33.3%,66.7%,0%,79
