,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,13.4,24.5%,69.8%,5.7%,128
1,Phantom,8.4,22.5%,70.9%,6.7%,123
2,Spectre,3.2,18.7%,72.3%,9%,92
3,Operator,3.1,10.6%,87.3%,2.1%,151
4,Ghost,2.4,26.8%,67.9%,5.3%,87
5,Odin,2.3,15.6%,68.8%,15.6%,115
6,Sheriff,2.1,28%,67%,5%,106
7,Frenzy,1.6,22.2%,72%,5.8%,89
8,Classic,1.6,22.5%,72.1%,5.3%,81
9,Guardian,1.6,25.2%,68%,6.8%,137
10,Marshal,1.5,22.4%,72%,5.6%,127
11,Judge,1.5,10.4%,76.6%,13%,91
12,Bulldog,1.4,20.1%,72.1%,7.8%,110
13,Stinger,1.3,20.1%,75.5%,4.3%,99
14,Bucky,0.8,19.7%,77.3%,3%,99
15,Ares,0.8,6.7%,76%,17.3%,80
16,Shorty,0.5,7.6%,75.3%,17.1%,100
