,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.1,14.4%,74.6%,11%,123
1,Phantom,5.6,13%,74.9%,12.1%,120
2,Spectre,3.7,11.4%,75.1%,13.5%,95
3,Odin,3.2,9.5%,70.7%,19.8%,116
4,Operator,2.8,10.7%,84.1%,5.2%,149
5,Ares,2.6,7.9%,70.4%,21.7%,100
6,Ghost,2.3,16.1%,74.5%,9.4%,85
7,Judge,1.7,11.6%,73%,15.4%,95
8,Classic,1.6,13.2%,76.1%,10.7%,72
9,Guardian,1.5,14.1%,78.6%,7.4%,133
10,Sheriff,1.4,18.3%,74.2%,7.5%,102
11,Frenzy,1.3,14.2%,76%,9.7%,80
12,Bulldog,1.3,12.1%,75.7%,12.2%,108
13,Marshal,1.2,22.9%,71.7%,5.4%,124
14,Shorty,0.9,13.5%,72.6%,13.9%,75
15,Stinger,0.8,15.2%,71.9%,12.9%,92
16,Bucky,0.7,12.1%,74.7%,13.3%,81
