,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.2,21.8%,71.8%,6.4%,128
1,Phantom,7.0,20.3%,72.1%,7.6%,125
2,Operator,3.4,11.8%,84.6%,3.7%,151
3,Spectre,2.8,17.5%,73%,9.5%,90
4,Odin,2.4,10.9%,72.7%,16.4%,118
5,Ghost,2.0,26.7%,69.1%,4.2%,86
6,Sheriff,1.9,30.1%,65.5%,4.4%,112
7,Judge,1.6,15.2%,73.4%,11.4%,96
8,Classic,1.5,23.2%,70.7%,6%,83
9,Bulldog,1.3,19.5%,73.8%,6.7%,106
10,Ares,1.3,13.5%,70.5%,16%,107
11,Guardian,1.2,28.4%,67.9%,3.7%,136
12,Frenzy,1.1,20.6%,71.2%,8.3%,84
13,Marshal,1.0,16.1%,77.4%,6.5%,117
14,Stinger,0.8,20%,73.3%,6.7%,119
15,Bucky,0.6,14.3%,71.4%,14.3%,90
16,Shorty,0.5,16.6%,74.8%,8.6%,83
