,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.0,13.3%,74.4%,12.3%,122
1,Phantom,4.5,12.2%,74.2%,13.6%,118
2,Spectre,3.4,11%,74.9%,14.1%,94
3,Ares,2.8,7.5%,69.3%,23.2%,99
4,Odin,2.7,9%,71.3%,19.7%,115
5,Operator,2.7,10.5%,85%,4.5%,147
6,Ghost,2.0,13.8%,75.3%,10.9%,83
7,Judge,2.0,10.4%,72.6%,17%,94
8,Guardian,1.9,14.6%,75.5%,9.9%,132
9,Bulldog,1.4,11.1%,76.9%,12%,102
10,Classic,1.3,12.4%,76.2%,11.4%,69
11,Bucky,1.2,13.3%,74.7%,12%,90
12,Sheriff,1.2,18.1%,74%,7.9%,98
13,Marshal,1.1,17.4%,77.5%,5.2%,120
14,Frenzy,1.1,15%,74.2%,10.9%,77
15,Shorty,0.8,12.9%,74.1%,13%,65
16,Stinger,0.7,17.7%,69.6%,12.7%,89
