,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,5.6,12.4%,73.2%,14.5%,119
1,Phantom,4.4,11.8%,73.7%,14.6%,117
2,Spectre,3.6,9.9%,74.5%,15.6%,95
3,Ares,3.2,7.3%,71.1%,21.6%,101
4,Odin,2.4,10.4%,66%,23.6%,115
5,Judge,2.1,8.5%,72%,19.5%,96
6,Operator,2.1,9.1%,84.2%,6.7%,139
7,Ghost,1.7,13.2%,73.3%,13.5%,81
8,Bulldog,1.7,10.5%,72.1%,17.4%,102
9,Guardian,1.4,8.2%,76.4%,15.5%,122
10,Classic,1.2,11.8%,74%,14.2%,70
11,Frenzy,1.2,15.6%,75.7%,8.8%,84
12,Marshal,1.1,19.8%,76.2%,4%,125
13,Sheriff,1.0,16.8%,73.1%,10.1%,92
14,Stinger,1.0,10.8%,74.9%,14.3%,92
15,Bucky,0.8,13%,70.9%,16.1%,84
16,Shorty,0.8,20.8%,58.9%,20.3%,75
