,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.4,19.9%,73.4%,6.7%,126
1,Phantom,6.2,18%,74.3%,7.7%,122
2,Operator,3.1,10%,85.2%,4.8%,146
3,Spectre,3.0,15.9%,74.6%,9.5%,95
4,Odin,2.5,13.6%,70.5%,15.9%,112
5,Ghost,2.2,22.3%,71.8%,5.9%,86
6,Judge,1.7,13%,74.7%,12.2%,98
7,Sheriff,1.5,24.4%,70.9%,4.6%,107
8,Classic,1.4,19.8%,74.3%,5.9%,77
9,Frenzy,1.4,17.5%,75%,7.5%,84
10,Bulldog,1.3,19.7%,73.6%,6.8%,112
11,Guardian,1.3,25.3%,68.8%,5.8%,143
12,Ares,1.3,9.7%,69.3%,21%,91
13,Marshal,1.2,19.8%,75.6%,4.6%,122
14,Stinger,0.9,17.4%,73.5%,9.1%,92
15,Bucky,0.9,17.4%,74.7%,7.9%,92
16,Shorty,0.6,14.7%,74.6%,10.8%,84
