,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.3,18.8%,73.9%,7.3%,127
1,Phantom,6.4,17.1%,74.4%,8.5%,123
2,Operator,3.3,10.7%,85.2%,4%,149
3,Spectre,2.8,14%,75.6%,10.4%,95
4,Odin,2.6,12.7%,68.6%,18.7%,112
5,Ghost,2.2,21.4%,72.4%,6.2%,87
6,Judge,1.6,13.7%,73.7%,12.6%,97
7,Ares,1.6,9.4%,71.4%,19.2%,102
8,Classic,1.5,17.7%,75.2%,7%,78
9,Guardian,1.5,25.9%,69.5%,4.6%,143
10,Frenzy,1.4,17.3%,74.9%,7.8%,84
11,Sheriff,1.4,23.4%,71.4%,5.2%,105
12,Bulldog,1.3,16.6%,76.3%,7%,110
13,Marshal,1.2,19.2%,77.2%,3.6%,122
14,Stinger,0.9,18.7%,73.5%,7.8%,95
15,Shorty,0.8,15%,72.2%,12.8%,83
16,Bucky,0.7,13%,77.2%,9.8%,79
