,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.8,12.8%,74.1%,13.1%,122
1,Phantom,5.0,11.8%,74.7%,13.5%,118
2,Spectre,4.0,10.2%,75%,14.8%,94
3,Ares,3.3,7.1%,70.4%,22.6%,99
4,Operator,2.8,9.1%,86.3%,4.6%,147
5,Odin,2.3,9.3%,69.8%,20.9%,112
6,Ghost,2.2,13.2%,75.4%,11.5%,82
7,Judge,2.0,10.1%,72.5%,17.4%,94
8,Classic,1.6,11.7%,75.1%,13.2%,69
9,Guardian,1.6,14%,75.3%,10.7%,129
10,Sheriff,1.3,15.9%,76.1%,8%,99
11,Marshal,1.2,21.8%,73%,5.1%,126
12,Frenzy,1.1,14.1%,75.7%,10.2%,78
13,Bulldog,1.1,9.8%,75.8%,14.4%,102
14,Bucky,0.9,13.6%,73.7%,12.6%,80
15,Stinger,0.9,13.3%,71%,15.7%,87
16,Shorty,0.9,14.5%,69.4%,16.1%,70
