,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,6.4,12%,72.6%,15.3%,120
1,Phantom,5.3,11%,72.3%,16.6%,116
2,Spectre,4.5,10.1%,73.4%,16.6%,93
3,Ares,3.4,7.1%,68.6%,24.4%,95
4,Odin,3.0,8.3%,69.9%,21.8%,112
5,Operator,2.6,8.4%,83.8%,7.7%,143
6,Guardian,2.3,11.8%,73.9%,14.2%,125
7,Bulldog,2.2,6.6%,72.5%,20.9%,92
8,Ghost,1.9,10.9%,73.3%,15.8%,80
9,Judge,1.8,9.6%,71.3%,19.1%,89
10,Classic,1.6,10.3%,75.3%,14.4%,70
11,Sheriff,1.4,14%,72.4%,13.7%,98
12,Marshal,1.2,14.6%,78.9%,6.5%,117
13,Frenzy,0.9,11.9%,73.5%,14.6%,74
14,Bucky,0.9,9.2%,72%,18.8%,83
15,Shorty,0.8,11.7%,73.8%,14.6%,69
16,Stinger,0.8,12%,68.5%,19.5%,90
