,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.5,21.5%,72.3%,6.3%,126
1,Phantom,6.4,19.9%,73.7%,6.4%,123
2,Operator,3.4,14%,83.1%,2.9%,148
3,Spectre,2.7,17.2%,73.6%,9.3%,93
4,Odin,2.7,17.4%,77.9%,4.7%,115
5,Ghost,2.1,22.3%,73%,4.7%,85
6,Sheriff,1.6,26.2%,69%,4.8%,106
7,Classic,1.4,21.2%,72.5%,6.3%,77
8,Judge,1.4,13.1%,73.7%,13.2%,95
9,Guardian,1.4,25.1%,71.9%,3%,128
10,Marshal,1.2,19.7%,75.8%,4.5%,120
11,Frenzy,1.1,21.1%,72.7%,6.3%,80
12,Bulldog,1.1,19%,70.6%,10.4%,108
13,Ares,1.1,11.5%,70.3%,18.2%,90
14,Stinger,0.9,18.3%,74.9%,6.8%,94
15,Bucky,0.8,18.1%,72.4%,9.4%,110
16,Shorty,0.6,15.1%,78.6%,6.4%,82
