,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.7,17.7%,74.2%,8.1%,126
1,Phantom,6.5,16.5%,74.8%,8.7%,123
2,Operator,3.2,10.6%,85.1%,4.4%,148
3,Spectre,3.1,13.7%,75.6%,10.7%,95
4,Odin,2.5,9.5%,72.4%,18.2%,113
5,Ghost,2.3,20%,73.2%,6.8%,85
6,Classic,1.6,16.8%,75.4%,7.8%,76
7,Judge,1.6,12.8%,72.3%,14.8%,94
8,Ares,1.6,8.5%,72.5%,19%,98
9,Sheriff,1.5,23%,71.1%,6%,106
10,Guardian,1.5,20.3%,74.6%,5.1%,137
11,Frenzy,1.3,16.4%,75.9%,7.6%,82
12,Bulldog,1.2,16.1%,74.8%,9.1%,107
13,Marshal,1.2,24.1%,72.9%,3%,128
14,Stinger,0.9,16.9%,75.2%,7.9%,94
15,Bucky,0.8,17.9%,73.6%,8.5%,85
16,Shorty,0.6,15.2%,72%,12.8%,83
