,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.4,14.8%,75.2%,9.9%,124
1,Phantom,5.8,14.1%,74.8%,11%,121
2,Spectre,3.5,12%,75.5%,12.5%,96
3,Operator,3.1,9.1%,86.8%,4.1%,147
4,Odin,2.9,10.3%,70.3%,19.4%,117
5,Ghost,2.4,17.1%,74.3%,8.6%,84
6,Ares,2.3,8.1%,72.6%,19.2%,97
7,Guardian,1.7,17%,76.1%,6.9%,138
8,Judge,1.7,11.2%,72.6%,16.3%,97
9,Classic,1.6,14.4%,76.2%,9.3%,74
10,Sheriff,1.4,19.3%,74.2%,6.5%,104
11,Bulldog,1.4,12.2%,77.7%,10%,105
12,Frenzy,1.3,14.4%,76%,9.5%,79
13,Marshal,1.2,22%,72.5%,5.5%,124
14,Stinger,1.0,16.4%,72.2%,11.4%,94
15,Bucky,0.9,16.1%,72.2%,11.7%,85
16,Shorty,0.7,11.7%,73.4%,14.9%,73
